player_name,position,minutes_played,dpr,dpr_breakdown__defensive_impact,dpr_breakdown__build_up_quality,dpr_breakdown__positioning_score,dpr_breakdown__physical_play,status,team,number,key_stats_p90__shots_p90,key_stats_p90__shots_on_target_p90,key_stats_p90__goals_p90,key_stats_p90__passes_p90,key_stats_p90__successful_passes_p90,key_stats_p90__unsuccessful_passes_p90,key_stats_p90__key_passes_p90,key_stats_p90__assists_p90,key_stats_p90__avg_pass_distance_p90,key_stats_p90__progressive_passes_p90,key_stats_p90__duels_p90,key_stats_p90__duels_won_p90,key_stats_p90__tackles_p90,key_stats_p90__successful_tackles_p90,key_stats_p90__tackle_success_rate_pct_p90,key_stats_p90__interceptions_p90,key_stats_p90__clearances_p90,key_stats_p90__recoveries_p90,key_stats_p90__blocked_shots_p90,key_stats_p90__dribbles_p90,key_stats_p90__successful_dribbles_p90,key_stats_p90__dribble_success_rate_pct_p90,key_stats_p90__shot_accuracy_pct_p90,key_stats_p90__goal_conversion_pct_p90,key_stats_p90__passing_accuracy_pct_p90,key_stats_p90__key_pass_rate_pct_p90,key_stats_p90__duel_success_rate_pct_p90,raw_stats__possession__your_possession_time_seconds,raw_stats__possession__possession_pct,raw_stats__distribution__passes,raw_stats__distribution__successful_passes,raw_stats__distribution__unsuccessful_passes,raw_stats__distribution__passing_accuracy_pct,raw_stats__distribution__key_passes,raw_stats__distribution__key_pass_rate_pct,raw_stats__distribution__assists,raw_stats__distribution__avg_pass_distance,raw_stats__distribution__progressive_passes,raw_stats__attack__shots,raw_stats__attack__shots_on_target,raw_stats__attack__goals,raw_stats__attack__shot_accuracy_pct,raw_stats__attack__goal_conversion_pct,raw_stats__dribbles__dribbles,raw_stats__dribbles__successful_dribbles,raw_stats__dribbles__dribble_success_rate_pct,raw_stats__defense__duels,raw_stats__defense__duels_won,raw_stats__defense__duel_success_rate_pct,raw_stats__defense__tackles,raw_stats__defense__successful_tackles,raw_stats__defense__tackle_success_rate_pct,raw_stats__defense__interceptions,raw_stats__defense__clearances,raw_stats__defense__recoveries,raw_stats__defense__blocked_shots,raw_stats__discipline__fouls_conceded,raw_stats__discipline__yellow_cards,raw_stats__discipline__red_cards,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,dpr_breakdown__game_control,dpr_breakdown__transition_play,dpr_breakdown__defensive_contribution,dpr_breakdown__creativity,dpr_breakdown__work_rate,dpr_breakdown__finishing_quality,dpr_breakdown__offensive_contribution,dpr_breakdown__link_up_play,dpr_breakdown__movement_threat,dpr_breakdown__shot_stopping,dpr_breakdown__distribution_quality,dpr_breakdown__command_area,dpr_breakdown__ball_playing,dpr_breakdown__consistency,raw_stats__goalkeeper__shots_faced,raw_stats__goalkeeper__saves,raw_stats__goalkeeper__goals_conceded,raw_stats__goalkeeper__save_pct,raw_stats__goalkeeper__shots_on_target_against,raw_stats__goalkeeper__goals_against,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,match_number,match_id,added_at,position_history,position_changed,shots_raw,shots_on_target_raw,goals_raw,passes_raw,successful_passes_raw,unsuccessful_passes_raw,passing_accuracy_pct_raw,key_passes_raw,assists_raw,avg_pass_distance_raw,progressive_passes_raw,duels_raw,duels_won_raw,tackles_raw,successful_tackles_raw,interceptions_raw,clearances_raw,recoveries_raw,blocked_shots_raw,dribbles_raw,successful_dribbles_raw,dribble_success_rate_pct_raw,note
"Garces, Josh",RB,892.5,69.4,26.66,41.94,57.15,41.93,DNP,Westwood Athletic,47,0.0,0.0,0.0,0.0,39.5,52.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.98,30.47,0.0,0.0,0.0,0.0,0.0,61.27,42.95,39.86,45.77,74.42,41.34,72.25,17069,31.87,437,437,0,100.0,7,1.6,3,11.21,25,13,3,2,23.08,15.38,5,2,40.0,63,0,0.0,15,12,80.0,2,26,11,1,2,3,0,1.311,0.303,0.202,44.067,44.07,72.43,0.706,0.303,1.13,2.521,6.353,0.0,1.513,1.21,8.07,0.202,2.622,1.109,0.101,0.504,0.2,4.03,2.33,1.55,10.08,0.16,67.19,30.52,53.53,24.02,62.56,32.28,78.88,34.32,26.81,48.71,76.35,54.81,77.55,32.59,64.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,70.59,2,4,2,24.89,7,Match_288,2025-11-10T03:11:20.576621+00:00,[],0,13,3,2,437,437,0,25.12,7,3,0.57,4,63,0,15,12,2,26,11,1,5,2,72.24,
"Merino, Josh",GK,722.97,42.34,46.63,58.68,37.49,23.78,starter,Far Eastern University,61,0.0,0.0,0.0,0.0,48.74,76.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,51.97,0.0,0.0,0.0,0.0,0.0,44.24,41.45,40.47,67.63,70.96,58.87,66.39,6640,15.31,418,205,213,49.04,8,1.91,2,29.24,17,7,3,3,42.86,42.86,5,4,80.0,12,1,8.33,14,13,92.86,3,14,8,2,2,2,0,0.871,0.373,0.373,52.035,25.52,26.52,0.996,0.249,3.64,2.116,1.494,0.124,1.743,1.62,11.56,0.373,1.743,0.996,0.249,0.622,0.5,9.96,5.34,5.34,6.1,0.24,1.04,72.31,33.94,76.85,58.68,44.7,40.57,58.76,39.58,55.6,61.81,70.51,46.72,38.24,27.92,26,14,12,53.85,26,12,1.743,1.494,3.237,3.237,1.494,6.7,3,3,4,41.35,9,Match_294,2025-05-05T05:29:04.577621+00:00,[],0,7,3,3,418,205,213,55.42,8,2,2.67,4,12,1,14,13,3,14,8,2,5,4,39.04,
"Barro, Harvy",CDM,1288.19,32.8,78.21,52.77,50.44,58.83,DNP,Brookside United,41,0.0,0.0,0.0,0.0,35.92,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,74.76,0.0,0.0,0.0,0.0,0.0,51.17,32.25,55.9,78.3,48.45,51.56,78.76,13684,17.7,468,370,98,79.06,6,1.28,1,13.29,12,25,13,1,52.0,4.0,15,0,0.0,26,7,26.92,11,10,90.91,2,29,5,1,3,2,0,1.747,0.908,0.07,32.697,25.85,6.85,0.419,0.07,0.929,0.838,1.817,0.489,0.769,0.7,6.35,0.14,2.026,0.349,0.07,1.048,63.25,55.09,3.63,0.28,5.52,0.09,1.88,37.73,73.76,78.18,65.25,79.64,60.01,67.97,63.71,75.34,40.32,26.74,48.74,22.4,60.68,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30.01,3,4,4,54.87,15,Match_46,2025-10-30T11:02:01.577621+00:00,[],0,25,13,1,468,370,98,21.17,6,1,3.14,5,26,7,11,10,2,29,5,1,15,0,43.54,
"Bacnis, Hugo",ST,1213.22,33.19,63.68,73.86,63.72,44.85,starter,Lakeside Athletic,37,0.0,0.0,0.0,0.0,59.41,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,48.05,0.0,0.0,0.0,0.0,0.0,74.86,52.8,71.47,47.86,47.86,56.46,77.83,13726,18.86,191,144,47,75.39,4,2.09,0,25.64,7,29,13,0,44.83,0.0,16,16,100.0,30,9,30.0,7,7,100.0,5,24,17,1,1,3,0,2.151,0.964,0.0,14.169,10.68,3.49,0.297,0.0,1.902,0.519,2.225,0.668,0.519,0.52,7.42,0.371,1.78,1.261,0.074,1.187,1.19,7.42,3.33,65.74,5.59,0.16,2.23,70.13,55.88,28.62,38.19,79.3,51.52,40.13,75.99,55.44,42.55,20.4,58.33,36.4,30.49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.13,4,4,1,31.93,19,Match_252,2025-06-06T11:47:14.578624+00:00,[],0,29,13,0,191,144,47,21.01,4,0,3.12,2,30,9,7,7,5,24,17,1,16,16,69.81,
"Unabia, Mark",LW,837.98,43.66,63.98,21.05,35.57,54.9,substitute,Crown City FC,16,0.0,0.0,0.0,0.0,42.58,33.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.91,50.8,0.0,0.0,0.0,0.0,0.0,44.24,42.62,50.34,44.76,54.12,43.29,36.17,1797,3.57,340,270,70,79.41,9,2.65,0,11.06,28,19,2,1,10.53,5.26,21,21,100.0,5,5,100.0,19,2,10.53,2,26,5,1,0,1,0,2.041,0.215,0.107,36.516,29.0,7.52,0.967,0.0,1.188,3.007,0.537,0.537,2.041,0.21,1.13,0.215,2.792,0.537,0.107,2.255,2.26,10.74,1.13,0.56,8.53,0.28,10.74,28.77,47.66,61.6,41.44,23.17,41.67,58.17,77.31,22.92,37.5,58.34,24.61,31.63,57.68,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,56.91,5,5,1,67.02,16,Match_262,2025-07-17T20:33:13.578624+00:00,[],0,19,2,1,340,270,70,26.09,9,0,0.98,1,5,5,19,2,2,26,5,1,21,21,78.65,
"Alcantara, Paolo",RB,1073.4,73.51,30.33,38.28,64.67,27.12,DNP,Valley Rovers,98,0.0,0.0,0.0,0.0,46.04,61.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86,69.91,0.0,0.0,0.0,0.0,0.0,33.88,42.31,59.35,71.35,42.81,48.03,30.94,21575,33.5,937,240,697,25.61,1,0.11,0,11.84,46,13,8,1,61.54,7.69,8,6,75.0,74,58,78.38,6,5,83.33,1,13,9,2,1,1,0,1.09,0.671,0.084,78.563,20.12,58.44,0.084,0.0,0.993,3.857,6.205,4.863,0.503,0.42,6.99,0.084,1.09,0.755,0.168,0.671,0.5,6.29,5.16,0.64,2.15,0.01,6.57,27.72,61.65,61.28,38.45,32.59,78.87,45.49,65.78,26.7,21.13,49.06,45.87,31.78,21.97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33.11,2,2,4,23.95,7,Match_325,2025-07-08T01:07:41.579621+00:00,[],0,13,8,1,937,240,697,59.14,1,0,0.82,3,74,58,6,5,1,13,9,2,8,6,36.02,
"Reyes, Miguel",RB,876.72,58.68,26.44,70.08,78.88,45.45,substitute,University of Santo Tomas,57,0.0,0.0,0.0,0.0,33.08,47.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.95,44.46,0.0,0.0,0.0,0.0,0.0,54.42,76.49,40.07,77.3,56.15,51.02,54.46,5620,10.68,488,372,116,76.23,6,1.23,1,26.28,36,4,1,0,25.0,0.0,7,2,28.57,6,4,66.67,18,0,0.0,5,10,5,2,3,3,0,0.411,0.103,0.0,50.096,38.19,11.91,0.616,0.103,2.698,3.696,0.616,0.411,1.848,53.37,58.88,0.513,1.027,0.513,0.205,0.719,0.21,2.93,2.57,42.56,7.83,0.13,6.84,50.86,44.45,65.68,38.86,47.95,51.18,49.75,41.68,37.3,63.33,24.93,49.62,43.09,47.42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37.28,1,3,1,72.25,5,Match_357,2025-03-01T16:13:25.580621+00:00,[],0,4,1,0,488,372,116,73.75,6,1,3.25,4,6,4,18,0,5,10,5,2,7,2,78.8,
"Valdez, Alysa",RWB,939.61,72.16,41.37,60.0,77.01,79.25,starter,Harborview United,83,0.0,0.0,0.0,0.0,31.46,71.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64,34.27,0.0,0.0,0.0,0.0,0.0,61.38,73.62,71.1,38.33,44.66,55.19,70.24,9704,17.21,38,37,1,97.37,0,0.0,0,17.52,1,4,1,0,25.0,0.0,3,3,100.0,14,11,78.57,30,23,76.67,6,19,4,2,2,0,0,0.383,0.096,0.0,3.64,3.54,0.1,0.0,0.0,1.678,0.096,1.341,1.054,2.874,2.2,7.34,0.575,1.82,0.383,0.192,0.287,0.29,9.58,2.39,65.53,9.33,34.59,7.53,50.68,28.84,47.28,27.33,49.36,33.85,76.54,21.78,64.27,69.82,49.89,21.6,30.75,56.28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,66.5,4,1,3,43.78,9,Match_255,2025-02-11T07:39:28.580621+00:00,[],0,4,1,0,38,37,1,38.46,0,0,4.61,4,14,11,30,23,6,19,4,2,3,3,81.1,
"Nemenzo, Sirach Ethan",CM,533.88,49.53,53.23,52.36,48.19,53.74,substitute,Northbridge FC,87,0.0,0.0,0.0,0.0,78.51,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18,55.92,0.0,0.0,0.0,0.0,0.0,61.21,71.97,70.35,38.65,62.63,65.69,65.85,4369,13.64,344,126,218,36.63,8,2.33,2,5.47,14,6,2,0,33.33,0.0,2,1,50.0,13,6,46.15,5,1,20.0,2,13,4,0,2,1,0,1.011,0.337,0.0,57.991,21.24,36.75,1.349,0.337,0.922,2.36,2.192,1.011,0.843,0.17,3.37,0.337,2.192,0.674,0.0,0.337,0.17,8.43,5.62,49.54,6.17,0.39,7.78,29.38,23.34,35.8,55.46,42.67,60.59,65.99,37.07,23.69,55.43,27.69,41.98,68.57,55.04,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37.17,6,5,2,29.74,20,Match_335,2025-09-13T20:45:44.581621+00:00,[],0,6,2,0,344,126,218,85.83,8,2,0.2,1,13,6,5,1,2,13,4,0,2,1,26.66,
"Valdez, Alysa",CB,838.36,58.37,30.0,37.97,78.17,32.11,starter,Summit Peak FC,98,0.0,0.0,0.0,0.0,30.07,59.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,55.96,0.0,0.0,0.0,0.0,0.0,54.97,58.26,79.07,61.12,54.0,37.93,37.11,2503,4.98,246,246,0,100.0,2,0.81,0,13.03,9,19,4,1,21.05,5.26,4,2,50.0,6,0,0.0,9,4,44.44,1,13,11,1,0,3,0,2.04,0.429,0.107,26.409,26.41,38.09,0.215,0.0,1.399,0.966,0.644,0.0,0.966,0.43,4.77,0.107,1.396,1.181,0.107,0.429,0.21,5.37,2.26,0.56,10.74,0.09,34.57,58.13,78.45,24.52,71.02,32.84,35.91,37.84,54.41,68.28,57.47,77.48,63.06,54.69,55.51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.69,0,5,2,67.73,17,Match_323,2025-06-07T13:46:08.582621+00:00,[],0,19,4,1,246,246,0,64.79,2,0,4.77,1,6,0,9,4,1,13,11,1,4,2,50.97,
"Darapan, Jermi",LB,577.38,63.28,70.65,44.62,71.61,74.67,starter,Redwood Borough,88,0.0,0.0,0.0,0.0,57.57,51.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.58,47.96,0.0,0.0,0.0,0.0,0.0,64.83,68.38,65.59,57.58,79.99,50.2,62.2,2418,6.98,88,72,16,81.82,2,2.27,0,18.32,2,6,2,0,33.33,0.0,11,6,54.55,33,33,100.0,15,10,66.67,1,14,1,0,1,2,0,0.935,0.312,0.0,13.717,11.22,2.49,0.312,0.0,2.856,0.312,5.144,5.144,2.338,1.56,10.39,0.156,2.182,0.156,0.0,1.715,0.94,8.5,5.2,42.39,12.75,0.35,15.59,58.04,70.76,36.02,37.22,29.64,61.21,34.17,34.31,29.0,21.66,67.82,38.63,49.12,79.48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.7,1,2,4,26.83,5,Match_341,2025-02-15T06:40:31.582621+00:00,[],0,6,2,0,88,72,16,40.66,2,0,0.46,5,33,33,15,10,1,14,1,0,11,6,89.91,
"Santos, Aris",CF,1073.09,31.11,68.4,39.76,55.06,43.4,substitute,National University,77,0.0,0.0,0.0,0.0,32.02,52.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,38.73,0.0,0.0,0.0,0.0,0.0,73.81,44.28,46.92,66.86,77.92,59.89,46.55,6402,9.94,337,0,337,0.0,12,3.56,1,4.55,0,5,0,0,0.0,0.0,10,3,30.0,18,10,55.56,18,16,88.89,1,1,16,1,4,3,0,0.419,0.0,0.0,28.264,42.43,28.26,1.006,0.084,0.382,0.0,1.51,0.839,1.51,1.34,7.46,0.084,0.084,1.342,0.084,0.839,0.25,2.52,50.91,43.64,67.19,0.3,4.66,64.9,34.16,45.37,28.66,30.51,78.2,46.37,35.26,55.37,49.42,42.48,76.92,38.99,45.43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41.43,4,4,3,83.18,8,Match_384,2024-12-31T18:40:21.583621+00:00,[],0,5,0,0,337,0,337,26.93,12,1,1.1,3,18,10,18,16,1,1,16,1,10,3,78.99,
"Digal, Laurence",CF,926.8,66.16,76.43,48.27,44.78,70.47,starter,Hillcrest Athletic,11,0.0,0.0,0.0,0.0,78.17,75.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.81,42.91,0.0,0.0,0.0,0.0,0.0,69.18,77.68,32.51,77.25,47.43,73.64,57.11,17896,32.18,155,29,126,18.71,4,2.58,0,20.34,9,24,11,4,45.83,16.67,6,0,0.0,21,1,4.76,16,16,100.0,6,2,8,2,3,3,0,2.331,1.068,0.388,15.052,2.82,12.24,0.388,0.0,1.975,0.874,2.039,0.097,1.554,1.55,9.71,0.583,0.194,0.777,0.194,0.583,73.32,61.78,4.45,1.62,1.82,0.25,0.46,63.04,72.61,69.21,69.46,61.91,50.38,41.11,56.13,68.81,64.27,47.2,21.64,23.13,58.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,66.5,4,3,3,81.25,20,Match_30,2025-03-17T09:22:20.583621+00:00,[],0,24,11,4,155,29,126,30.67,4,0,0.61,2,21,1,16,16,6,2,8,2,6,0,50.17,
"Barro, Harvy",CAM,688.61,38.09,71.11,22.99,57.08,56.02,substitute,Lakeside Athletic,26,0.0,0.0,0.0,0.0,68.7,74.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29,68.16,0.0,0.0,0.0,0.0,0.0,33.87,77.23,31.41,45.22,79.21,57.16,46.87,7660,18.54,158,158,0,100.0,2,1.27,0,9.37,8,10,4,0,40.0,0.0,20,20,100.0,18,14,77.78,10,6,60.0,2,0,7,1,1,1,0,1.307,0.523,0.0,20.65,20.65,71.52,0.261,0.0,1.225,1.046,2.353,1.83,1.307,0.78,7.84,0.261,0.0,0.915,0.131,2.614,2.61,13.07,5.23,37.02,13.07,0.17,10.17,28.96,77.48,30.21,54.03,20.85,51.55,66.4,75.7,69.64,49.65,33.47,32.19,76.76,68.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,43.94,5,3,6,49.86,17,Match_104,2025-07-09T08:32:56.584631+00:00,[],0,10,4,0,158,158,0,61.74,2,0,1.68,2,18,14,10,6,2,0,7,1,20,20,44.25,
"Moleje, Josh",LW,871.33,62.41,22.73,35.22,57.18,38.15,DNP,Southgate United,91,0.0,0.0,0.0,0.0,76.41,74.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.94,72.88,0.0,0.0,0.0,0.0,0.0,41.49,39.06,77.65,68.02,73.32,56.45,38.1,7719,14.76,423,423,0,100.0,2,0.47,0,23.44,24,19,3,1,15.79,5.26,12,9,75.0,28,9,32.14,2,1,50.0,3,15,7,3,0,2,0,1.963,0.31,0.103,43.692,43.69,64.06,0.207,0.0,2.421,2.479,2.892,0.93,0.207,0.1,5.16,0.31,1.549,0.723,0.31,1.239,0.93,7.75,1.63,0.54,10.33,0.05,3.32,43.68,42.25,78.08,53.57,54.83,35.62,50.22,75.82,72.67,27.92,39.04,51.83,28.51,27.01,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39.18,4,7,3,41.47,18,Match_244,2025-07-12T06:09:51.585615+00:00,[],0,19,3,1,423,423,0,37.53,2,0,0.79,5,28,9,2,1,3,15,7,3,12,9,76.63,
"Valdez, Alysa",CM,417.02,29.68,72.09,30.84,30.1,50.52,substitute,University of the Philippines,45,0.0,0.0,0.0,0.0,78.45,37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,61.64,0.0,0.0,0.0,0.0,0.0,49.01,60.71,78.29,70.6,60.99,65.26,38.32,4044,16.16,262,91,171,34.73,0,0.0,0,8.0,3,10,3,0,30.0,0.0,5,5,100.0,8,1,12.5,1,1,100.0,2,7,2,0,1,2,0,2.158,0.647,0.0,56.544,19.64,36.9,0.0,0.0,1.727,0.647,1.727,0.216,0.216,0.22,21.58,0.432,1.511,0.432,0.0,1.079,1.08,21.58,6.47,59.28,7.5,68.53,2.7,36.37,73.45,55.14,55.01,78.3,51.56,54.25,44.99,24.61,66.1,60.61,73.24,21.56,60.88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.49,4,4,4,79.07,20,Match_216,2025-08-26T22:33:28.585615+00:00,[],0,10,3,0,262,91,171,24.26,0,0,2.13,2,8,1,1,1,2,7,2,0,5,5,50.85,
"Taberos, Earl",CB,1069.42,57.36,77.27,29.25,37.91,68.07,starter,Metro FC,37,0.0,0.0,0.0,0.0,33.3,35.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84,64.3,0.0,0.0,0.0,0.0,0.0,47.64,70.57,32.44,74.39,46.57,55.07,74.11,17177,26.77,504,441,63,87.5,8,1.59,1,17.35,36,11,1,0,9.09,0.0,14,14,100.0,63,58,92.06,13,6,46.15,6,6,6,2,1,1,0,0.926,0.084,0.0,42.416,37.11,5.3,0.673,0.084,1.46,3.03,5.302,4.881,1.094,0.5,3.88,0.505,0.505,0.505,0.168,1.178,1.18,8.42,0.76,38.46,7.36,0.13,7.75,64.15,75.3,74.22,56.21,41.54,25.77,42.05,31.99,46.73,43.29,36.11,56.02,25.41,45.35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.15,4,1,2,20.02,3,Match_231,2025-05-05T06:23:07.586621+00:00,[],0,11,1,0,504,441,63,46.08,8,1,0.56,5,63,58,13,6,6,6,6,2,14,14,64.55,
"Fernandez, Sam",RW,882.74,30.7,59.69,30.77,30.93,43.58,starter,Valley Rovers,3,0.0,0.0,0.0,0.0,44.66,36.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.16,48.6,0.0,0.0,0.0,0.0,0.0,47.82,38.88,32.43,60.35,40.66,41.93,55.05,4926,9.3,395,260,135,65.82,7,1.77,1,16.41,20,15,3,0,20.0,0.0,19,13,68.42,14,5,35.71,16,10,62.5,10,15,9,0,1,0,0,1.529,0.306,0.0,40.272,26.51,13.76,0.714,0.102,1.673,2.039,1.427,0.51,1.631,1.02,6.37,1.02,1.529,0.918,0.0,1.937,1.33,6.98,2.04,77.14,6.71,0.18,3.64,25.0,72.61,37.86,55.23,47.3,60.22,57.43,35.9,78.0,72.28,31.23,31.11,64.82,56.24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,74.29,2,3,5,32.42,19,Match_359,2025-05-26T03:04:20.586621+00:00,[],0,15,3,0,395,260,135,56.62,7,1,4.83,2,14,5,16,10,10,15,9,0,19,13,56.04,
"Darapan, Jermi",LB,848.19,60.13,77.83,48.29,71.59,55.11,starter,Far Eastern University,95,0.0,0.0,0.0,0.0,32.69,49.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36,53.24,0.0,0.0,0.0,0.0,0.0,36.19,34.78,59.14,48.58,71.72,65.32,55.74,16794,33.0,519,354,165,68.21,3,0.58,0,25.23,10,1,0,0,0.0,0.0,6,4,66.67,49,7,14.29,14,7,50.0,3,12,6,2,2,2,0,0.106,0.0,0.0,55.07,37.56,17.51,0.318,0.0,2.677,1.061,5.199,0.743,1.486,0.74,5.31,0.318,1.273,0.637,0.212,0.637,0.42,7.07,62.17,47.8,7.24,0.06,1.52,32.08,54.17,70.03,23.06,20.47,57.82,62.79,78.77,70.92,64.22,55.75,53.26,37.45,49.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62.07,3,3,4,82.81,4,Match_303,2025-09-14T15:30:03.587621+00:00,[],0,1,0,0,519,354,165,29.34,3,0,1.01,4,49,7,14,7,3,12,6,2,6,4,41.21,
"Moleje, Josh",ST,826.84,72.99,69.98,60.39,64.08,67.76,starter,Crown City FC,50,0.0,0.0,0.0,0.0,62.76,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48,51.79,0.0,0.0,0.0,0.0,0.0,53.11,30.59,78.18,33.0,43.56,46.16,42.76,15746,31.74,238,179,59,75.21,6,2.52,1,4.83,3,30,13,3,43.33,10.0,15,12,80.0,12,12,100.0,2,1,50.0,1,19,10,1,0,1,0,3.265,1.415,0.327,25.906,19.48,6.42,0.653,0.109,0.526,0.327,1.306,1.306,0.218,0.11,5.44,0.109,2.068,1.088,0.109,1.633,1.31,8.71,4.72,1.09,8.19,0.27,10.88,67.99,70.67,57.31,36.95,64.96,60.02,27.75,31.97,56.34,26.05,44.96,79.63,38.22,32.57,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54.54,4,4,1,75.38,2,Match_289,2025-09-10T15:26:41.588625+00:00,[],0,30,13,3,238,179,59,71.76,6,1,1.61,6,12,12,2,1,1,19,10,1,15,12,71.87,
"Reyes, Edvard",ST,930.76,61.63,25.96,58.83,40.08,28.27,starter,Valley Rovers,64,0.0,0.0,0.0,0.0,61.2,63.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.95,60.69,0.0,0.0,0.0,0.0,0.0,52.11,66.33,43.22,49.77,57.93,34.85,64.54,1821,3.26,358,267,91,74.58,12,3.35,1,26.16,16,13,4,1,30.77,7.69,23,5,21.74,46,27,58.7,15,2,13.33,1,5,5,1,3,0,0,1.257,0.387,0.097,34.617,25.82,8.8,1.16,0.097,2.53,1.547,4.448,2.611,1.45,0.19,1.29,0.097,0.483,0.483,0.097,2.224,0.48,2.1,2.98,0.74,7.21,0.32,5.68,70.92,46.35,44.94,66.14,34.72,68.55,40.48,50.3,25.11,42.35,65.29,41.64,59.9,29.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37.41,4,3,2,84.77,15,Match_340,2025-09-05T05:39:10.588625+00:00,[],0,13,4,1,358,267,91,58.17,12,1,4.74,3,46,27,15,2,1,5,5,1,23,5,25.3,
"Mapula, Paul Joshua",RW,829.61,47.31,32.31,52.67,67.3,59.12,DNP,Crown City FC,52,0.0,0.0,0.0,0.0,31.73,76.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.89,59.67,0.0,0.0,0.0,0.0,0.0,79.49,36.39,32.03,45.13,49.42,59.46,73.71,11276,22.65,116,82,34,70.69,1,0.86,0,4.73,6,7,4,0,57.14,0.0,3,1,33.33,11,9,81.82,16,10,62.5,1,24,6,2,1,2,0,0.759,0.434,0.0,12.584,8.9,3.69,0.108,0.0,0.513,0.651,1.193,0.976,1.736,1.08,6.78,0.108,2.604,0.651,0.217,0.325,0.11,3.62,6.2,37.1,7.67,0.09,8.88,61.85,73.26,66.89,44.27,31.84,38.09,22.22,40.07,63.51,64.4,27.56,79.52,37.04,25.57,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48.36,3,3,4,79.37,15,Match_142,2025-03-04T19:25:06.589621+00:00,[],0,7,4,0,116,82,34,68.35,1,0,0.01,3,11,9,16,10,1,24,6,2,3,1,58.28,
